#{"t_start": 1776079954.582204, "env_id": "highway-v0"}
r,l,t
10.635804,15,23.096838
4.79017,6,31.299095
18.202335,26,66.582839
13.475713,17,89.625464
5.540027,9,101.831626
2.594235,4,107.349142
13.003349,16,129.014746
6.59342,8,139.988712
5.649646,7,149.578801
21.059729,26,184.826685
4.367158,6,192.974127
5.204347,7,202.643404
12.193092,18,226.952706
23.198596,30,267.353127
18.446975,27,303.860521
13.41915,18,328.228176
3.195362,4,333.752821
5.089915,8,344.659724
22.602198,30,385.351577
2.401191,4,390.975366
22.083484,30,431.516767
10.02628,15,451.845287
11.750762,17,474.875206
9.543378,14,493.845362
7.571668,11,508.916839
6.053663,9,521.052421
7.788845,9,533.230201
3.196006,5,540.101203
5.535025,8,550.997973
15.809246,20,578.072466
14.820738,20,605.446825
1.598207,3,609.603232
12.011893,15,630.117144
6.557215,8,641.060078
22.701112,30,681.537938
3.255863,5,688.351512
11.3758,16,710.071056
9.121556,10,723.616826
3.199682,5,730.400843
21.136465,30,770.917646
9.616321,14,789.864491
18.234354,26,824.954595
3.758513,5,831.799402
11.000136,16,853.605642
0.925823,2,856.480724
2.757291,4,861.936483
3.850513,5,868.694812
23.198479,30,909.231805
1.958373,3,913.340254
5.685219,8,924.216191
10.955827,13,941.965016
1.278391,2,944.737959
16.401381,20,971.933377
14.983803,22,1001.919553
2.846591,5,1008.768726
6.974338,10,1022.379625
7.792278,9,1034.606634
23.824323,30,1075.800525
4.192062,6,1083.938625
19.545585,29,1123.030251
6.307199,10,1136.861898
10.534335,15,1157.450269
8.766123,11,1172.421849
3.562482,5,1179.260742
5.007568,7,1188.861727
6.75607,8,1199.866375
3.959047,5,1206.72547
4.754525,6,1214.955006
10.71679,13,1232.500642
1.278391,2,1235.316543
3.998183,6,1243.531969
4.176226,7,1253.119689
11.048742,14,1272.12775
6.68814,10,1285.691719
6.785492,9,1297.925838
16.02241,21,1326.473106
25.340759,30,1366.973553
22.148928,30,1404.492818
1.960209,3,1408.357668
4.756228,6,1416.035811
10.490027,14,1433.7391
24.199105,29,1470.237956
12.729342,16,1490.605532
4.59345,6,1498.246615
15.807809,20,1523.502263
22.517462,30,1561.506043
3.052236,5,1567.864573
15.61147,19,1592.200296
23.871567,30,1630.275202
6.794132,8,1640.507762
12.195997,14,1658.378763
1.958373,3,1662.182986
9.916227,15,1681.061587
11.070664,12,1696.208633
11.993847,14,1713.808371
7.311543,10,1726.472183
10.048324,13,1743.012949
16.601617,20,1768.305205
4.400026,6,1775.983472
9.761644,13,1792.394692
9.88623,14,1810.13676
8.361112,11,1824.096171
17.441939,25,1855.516433
2.757291,4,1860.642128
24.575368,30,1898.716811
13.347703,19,1922.646127
7.768392,11,1936.590694
12.194627,18,1959.301291
8.500305,12,1974.534132
9.178785,13,1990.819793
9.998154,12,2006.130136
5.525492,7,2015.053304
17.676292,24,2045.415262
23.951561,30,2083.367869
14.812634,17,2104.709635
6.752653,8,2114.806897
16.166733,19,2138.63645
12.22113,17,2160.037075
8.044894,11,2173.979005
24.635613,28,2209.04446
13.277831,17,2230.689846
19.226193,26,2263.220022
23.379777,30,2301.327604
4.957169,6,2309.060067
15.010087,18,2331.882998
3.959047,5,2338.263521
7.407984,9,2349.55148
10.408141,13,2366.040966
20.258955,25,2397.61425
18.982435,24,2427.865769
5.009404,7,2436.684243
8.492128,12,2452.066347
2.564214,4,2457.177978
6.903498,11,2471.097494
9.513543,12,2486.245495
2.566059,4,2491.31648
6.955322,8,2501.320124
8.129529,12,2516.581595
3.36719,5,2522.914608
3.731836,6,2530.493476
1.960209,3,2534.417189
3.197496,5,2540.815383
16.32787,21,2567.333576
1.764923,3,2571.165409
4.601082,6,2578.808055
6.324406,8,2588.875175
2.802861,4,2593.956281
5.372082,8,2604.125408
7.715773,9,2615.699247
11.956332,14,2633.383364
4.289789,7,2642.220999
7.320722,10,2654.849316
7.193645,9,2666.169759
1.960209,3,2670.022717
8.237697,10,2682.890122
1.960209,3,2686.725678
7.333322,11,2700.707738
9.845805,13,2717.192612
12.648742,14,2735.044108
5.955318,7,2743.782738
4.645635,7,2752.629344
7.985475,9,2764.171136
13.605716,16,2784.534938
3.36719,5,2790.97147
4.003463,6,2798.673702
1.882395,3,2802.532976
23.701156,30,2840.280558
5.596066,8,2850.368217
9.159643,11,2864.167217
4.964186,7,2873.14319
7.995109,10,2885.76256
6.959012,8,2895.954823
22.653546,28,2931.401636
5.955323,7,2940.324191
20.869658,30,2978.078048
15.889393,20,3003.364188
10.135539,14,3021.021006
3.558427,5,3027.41019
1.960209,3,3031.259894
22.496802,29,3068.113747
13.255703,18,3090.804257
1.960209,3,3094.659092
11.604972,14,3112.479459
6.756069,8,3122.658792
21.063673,27,3156.601021
19.225292,26,3189.407657
14.167144,17,3210.862378
6.953722,8,3220.963951
22.48627,30,3258.920493
5.65119,9,3270.225293
21.778677,30,3308.081334
3.792313,5,3314.425839
8.989009,13,3330.712547
3.974726,6,3338.311357
16.440475,19,3362.264175
1.001855,2,3364.906824
4.957168,6,3372.604216
8.878783,10,3385.223551
1.598207,3,3389.077019
6.436561,8,3399.135206
1.922265,3,3403.042201
6.71806,9,3414.508925
10.559435,12,3429.610641
2.568289,4,3434.683573
14.964694,17,3456.193682
4.001238,6,3463.90458
1.960209,3,3467.788327
22.695909,25,3499.575711
2.759115,4,3504.677637
2.399343,4,3509.76338
10.61197,15,3528.792567
18.941369,24,3559.331206
4.049837,6,3566.978596
6.591205,8,3576.979607
6.239422,8,3587.05286
5.959013,7,3595.965079
5.556379,7,3604.879214
1.276554,2,3607.511199
17.683415,21,3634.124692
1.196243,2,3636.692654
9.885203,13,3653.105325
3.957201,5,3659.415585
2.996627,4,3664.508485
7.910942,11,3678.288974
2.164773,4,3683.449326
2.727273,5,3689.733083
12.82457,18,3712.542475
3.20231,5,3718.921226
5.362626,7,3727.884292
0.966017,2,3730.533868
1.655784,3,3734.435657
8.203349,10,3747.137098
19.270207,25,3778.661247
4.119965,5,3785.101792
3.957206,5,3791.473542
8.603111,11,3805.37591
1.960209,3,3809.196881
6.957162,8,3819.494518
17.956924,25,3851.14974
18.044513,22,3878.927775
4.208009,7,3887.819025
16.447774,20,3913.108031
9.710954,14,3930.698563
9.574348,13,3947.163934
8.765354,11,3961.082047
5.321508,8,3971.319494
9.882884,14,3989.014013
13.899136,19,4012.989152
6.658689,10,4025.589395
12.092237,16,4045.988011
1.960209,3,4049.871078
6.204843,8,4059.999
14.813669,18,4082.771774
2.566054,4,4087.934067
2.131758,4,4093.038783
2.563432,4,4098.173432
12.692078,17,4119.782149
17.240282,24,4149.908271
4.685264,7,4158.765544
1.121128,2,4161.400255
13.20256,16,4181.655564
24.060609,30,4219.833143
9.923229,13,4236.210902
17.665753,24,4266.548774
23.380617,30,4304.473742
3.760353,5,4310.851098
3.20231,5,4317.224327
